artist_id,canonical_name,aliases_json,source,updated_at,is_enabled,ticketjam_watch,ticketjam_benchmark_tier,ticketjam_watch_reason
manual:jp:mrs_green_apple,Mrs. GREEN APPLE,"[""Mrs. GREEN APPLE"", ""ミセス"", ""ミセスグリーンアップル""]",manual,2026-02-25,1,1,S,artist_gap
manual:kpop:asc2nt,ASC2NT,"[""ASC2NT""]",manual,2026-03-18,1,0,,artist_gap
manual:global:let_me_know,LET ME KNOW,"[""LET ME KNOW"", ""日本発インディーロックバンドLET ME KNOW""]",manual,2026-03-18,1,0,,artist_gap
manual:kpop:tunexx,TUNEXX,"[""TUNEXX"", ""「ボイプラ2」出演の4人が所属...TUNEXX""]",manual,2026-03-18,1,0,,artist_gap
manual:kpop:adap,ADAP,"[""ADAP"", ""新人ボーイズグループADAP""]",manual,2026-03-18,1,0,,artist_gap
manual:kpop:jiho_eden,JIHO&EDEN,"[""JIHO&EDEN"", ""NINE.i ジホ&イドゥン""]",manual,2026-03-18,1,0,,artist_gap
manual:kpop:choi_seokjin_choi_minu,チェ・ソクジン&チェ・ミヌ,"[""チェ・ソクジン&チェ・ミヌ"", ""俳優チェ・ソクジン&チェ・ミヌ""]",manual,2026-03-18,1,0,,artist_gap
manual:kpop:enoch,エノク,"[""エノク"", ""韓国ミュージカル俳優エノク""]",manual,2026-03-18,1,0,,artist_gap
wd:Q626440,嵐,"[""ARASHI"", ""嵐""]",manual,2026-02-27,1,0,,
manual:jp:takenaka_yudai,竹中雄大,"[""竹中雄大""]",manual,2026-02-25,1,0,,
manual:jp:suga_shikao,スガシカオ,"[""スガシカオ"", ""スガ シカオ"", ""SUGA SHIKAO""]",manual,2026-02-25,1,0,,
manual:jp:ito_ran,伊藤蘭,"[""伊藤蘭"", ""伊藤 蘭"", ""Ran Ito""]",manual,2026-02-25,1,0,,
wd:Q1378545,サザンオールスターズ,"[""サザン"", ""SAS"", ""Southern All Stars""]",manual,2026-03-09,1,1,S,artist_gap
wd:Q6139131,三代目 J SOUL BROTHERS from EXILE TRIBE,"[""三代目 J SOUL BROTHERS"", ""三代目 J Soul Brothers"", ""J Soul Brothers III""]",manual,2026-03-09,1,1,A,artist_gap
wd:Q19567990,三代目 J SOUL BROTHERS from EXILE TRIBE,"[""三代目 J SOUL BROTHERS"", ""三代目 J Soul Brothers"", ""J Soul Brothers III""]",manual,2026-03-09,1,1,A,artist_gap
wd:Q150186,B'z,"[""B'z"", ""ビーズ"", ""B`z""]",manual,2026-03-09,1,1,A,artist_gap
wd:Q655239,EXILE,"[""EXILE"", ""エグザイル""]",manual,2026-03-09,1,1,B,artist_gap
wd:Q104012678,Ado,"[""Ado"", ""アド""]",manual,2026-03-09,1,1,B,artist_gap
wd:Q1057960,GLAY,"[""GLAY"", ""グレイ"", ""Glay""]",manual,2026-03-09,1,1,B,artist_gap
wd:Q1141809,福山雅治,"[""福山雅治"", ""Fukuyama Masaharu"", ""ましゃ""]",manual,2026-03-09,1,1,B,artist_gap
wd:Q1041260,Nissy,"[""Nissy"", ""西島隆弘""]",manual,2026-03-09,1,0,reference,artist_gap
manual:global:lady_gaga,Lady Gaga,"[""Lady Gaga"", ""レディー・ガガ""]",manual,2026-03-09,1,0,reference,artist_gap
